,,,tt(1l),,,tt(2l),,,ttW,,,ttZ,,,Rarett+X(Y),,,V/VV/VVV,,,Total,,,data,,,Ratio,,,C2V=6,,,C2V=4.5,,,C2V=-2,,,C2V=3,,
Tight,LL,On Mbb-peak,Only LeadLep140,6.256,±,1.291,1.048,±,0.402,6.402,±,0.221,1.767,±,0.322,2.454,±,0.18,0.145,±,0.053,18.072,±,1.42,0.0,±,0.0,0.0,±,0.0,6.421,±,0.321,2.978,±,0.05,2.096,±,0.11,0.964,±,0.054
Tight,LL,Off Mbb-peak,Only LeadLep140,14.893,±,1.967,4.837,±,0.911,21.941,±,0.407,8.498,±,0.825,9.473,±,0.22,0.685,±,0.131,60.327,±,2.369,63.0,±,7.937,1.044,±,0.138,1.509,±,0.156,0.629,±,0.023,0.457,±,0.051,0.168,±,0.023
Loose,EE,On Mbb-peak,Only LeadLep140,2.336,±,0.775,1.777,±,0.699,1.916,±,0.121,1.087,±,0.242,0.781,±,0.077,2.943,±,2.753,10.84,±,2.957,0.0,±,0.0,0.0,±,0.0,1.268,±,0.143,0.53,±,0.021,0.405,±,0.048,0.187,±,0.024
Loose,EE,Off Mbb-peak,Only LeadLep140,7.831,±,1.118,3.186,±,0.861,5.743,±,0.206,2.781,±,0.436,2.376,±,0.207,0.395,±,0.144,22.313,±,1.512,20.0,±,4.472,0.896,±,0.209,0.754,±,0.11,0.339,±,0.017,0.226,±,0.036,0.107,±,0.018
Loose,EM,On Mbb-peak,Only LeadLep140,5.289,±,0.912,1.129,±,0.617,5.025,±,0.194,1.603,±,0.398,2.396,±,0.292,0.279,±,0.134,15.721,±,1.229,0.0,±,0.0,0.0,±,0.0,2.424,±,0.197,1.357,±,0.034,0.869,±,0.071,0.404,±,0.035
Loose,EM,Off Mbb-peak,Only LeadLep140,17.066,±,1.955,4.634,±,0.978,14.35,±,0.329,6.117,±,0.643,6.229,±,0.428,1.593,±,0.307,49.988,±,2.361,42.0,±,6.481,0.84,±,0.136,1.653,±,0.163,0.818,±,0.026,0.631,±,0.06,0.291,±,0.03
Loose,MM,On Mbb-peak,Only LeadLep140,1.26,±,0.637,0.19,±,0.19,3.202,±,0.151,0.49,±,0.238,1.116,±,0.149,0.154,±,0.087,6.413,±,0.742,0.0,±,0.0,0.0,±,0.0,2.007,±,0.179,0.83,±,0.026,0.492,±,0.053,0.312,±,0.031
Loose,MM,Off Mbb-peak,Only LeadLep140,5.037,±,0.919,0.591,±,0.299,9.91,±,0.27,1.88,±,0.38,5.822,±,1.558,0.822,±,0.182,24.06,±,1.901,17.0,±,4.123,0.707,±,0.18,1.124,±,0.134,0.559,±,0.022,0.313,±,0.043,0.193,±,0.024
Loose,LL,On Mbb-peak,Only LeadLep140,8.885,±,1.356,3.097,±,0.951,10.143,±,0.274,3.18,±,0.524,4.293,±,0.336,3.376,±,2.757,32.974,±,3.287,0.0,±,0.0,0.0,±,0.0,5.699,±,0.302,2.717,±,0.048,1.766,±,0.101,0.903,±,0.053
Loose,LL,Off Mbb-peak,Only LeadLep140,29.934,±,2.432,8.411,±,1.337,30.003,±,0.473,10.777,±,0.865,14.427,±,1.629,2.81,±,0.385,96.362,±,3.388,79.0,±,8.888,0.82,±,0.097,3.532,±,0.238,1.717,±,0.038,1.17,±,0.082,0.591,±,0.043
